mard_code,group,number,hex,r,g,b
H13,H,13,#F5ECD2,245,236,210
M13,M,13,#D19066,209,144,102
P13,P,13,#AACBEF,170,203,239
R13,R,13,#55514C,85,81,76
A14,A,14,#FD543D,253,84,61
B14,B,14,#ADE946,173,233,70
C14,C,14,#D5FDFF,213,253,255
D14,D,14,#8B279B,139,39,155
E14,E,14,#FFD1BA,255,209,186
F14,F,14,#FFA9AD,255,169,173
G14,G,14,#8D614C,141,97,76
H14,H,14,#CFD7D3,207,215,211
M14,M,14,#C77362,199,115,98
P14,P,14,#337680,51,118,128
R14,R,14,#9FE4DF,159,228,223
A15,A,15,#FFF365,255,243,101
B15,B,15,#2E5132,46,81,50
C15,C,15,#22C4C6,34,196,198
D15,D,15,#2F1F90,47,31,144
E15,E,15,#F8C7C9,248,199,201
F15,F,15,#D30022,211,0,34
G15,G,15,#FCF9E0,252,249,224
H15,H,15,#98A6A8,152,166,168
M15,M,15,#757D78,117,125,120
P15,P,15,#668575,102,133,117
R15,R,15,#77CEE9,119,206,233
A16,A,16,#FFFF9F,255,255,159
B16,B,16,#C5ED9C,197,237,156
C16,C,16,#1557A8,21,87,168
D16,D,16,#E3E1EE,227,225,238
E16,E,16,#FFF3EB,255,243,235
F16,F,16,#FEC2A6,254,194,166
G16,G,16,#F2D9BA,242,217,186
H16,H,16,#1D1414,29,20,20
P16,P,16,#FEBF45,254,191,69
R16,R,16,#3ECFCA,62,207,202
A17,A,17,#FFE36E,255,227,110
B17,B,17,#9BB13A,155,177,58
C17,C,17,#04D1F6,4,209,246
D17,D,17,#C4D4F6,196,212,246
E17,E,17,#FFE2EA,255,226,234
F17,F,17,#E69C79,230,156,121
G17,G,17,#78524B,120,82,75
H17,H,17,#F1EDED,241,237,237
P17,P,17,#FEA324,254,163,36
R17,R,17,#4A867A,74,134,122
A18,A,18,#FEBE7D,254,190,125
B18,B,18,#E6EE49,230,238,73
C18,C,18,#1D3344,29,51,68
D18,D,18,#A45EC7,164,94,199
E18,E,18,#FFC7DB,255,199,219
F18,F,18,#D37C46,211,124,70
G18,G,18,#FFE4CC,255,228,204
H18,H,18,#FFFDF0,255,253,240
P18,P,18,#FEB89F,254,184,159
R18,R,18,#7FCD9D,127,205,157
A19,A,19,#FD7C72,253,124,114
B19,B,19,#24B88C,36,184,140
C19,C,19,#1887A2,24,135,162
D19,D,19,#D8C3D7,216,195,215
E19,E,19,#FEBAD5,254,186,213
F19,F,19,#C1444A,193,68,74
G19,G,19,#E07935,224,121,53
H19,H,19,#F6EFE2,246,239,226
P19,P,19,#FFFEEC,255,254,236
